School,District,Division1,Pupils,
Butaleja P/S,Butaleja,2,72,
Budusu Primary School,Butaleja,1,35,
Kabirizi Primary School,Butaleja,1,35,
Nalugunjo P S,Butaleja,2,58,
Leresi P S,Butaleja,1,29,
Wangale Primary School,Butaleja,2,58,
Bogosa Ps,Butaleja,2,62,
Butesa Ps,Butaleja,1,31,
Naweyo Primary School,Butaleja,1,24,
Mugulu Int Sch,Butaleja,6,90,
Muhula P S ,Butaleja,7,77,
Namawa P S,Butaleja,4,73,
Manyamye Primary School,Butaleja,2,29,
Kachekere P/S,Butaleja,3,52,
Nawango C/U Primary School,Butaleja,3,41,
Nakwasi Ps,Butaleja,4,49,
Busolwe Township P/S,Butaleja,8,47,
Mulagi Primary School,Butaleja,6,35,
Bufujja Primary School,Butaleja,1,50,
Busabi Primary School,Butaleja,11,60,
St.Lwanga Nawonya Pri.School,Butaleja,1,49,
Kinoni Primary School,Butaleja,16,48,
Mugulu P Sch,Butaleja,3,146,
Nahamya PS,Butaleja,2,94,
Nampologoma Primary School,Butaleja,24,50,
Dube Rock Primary School,Butaleja,34,65,
Namehere P S,Butaleja,1,41,
Nakasanga PS,Butaleja,1,38,
Muyaga Foundation P/S,Butaleja,1,38,
Nabiganda P/S,Butaleja,2,114,
Hasahya PS,Butaleja,2,75,
Buteleja Ps,Butaleja,2,74,
Buteleja Ps,Butaleja,2,74,
Bwebukya Umea Primary School,Butambala,2,59,
Lukalu Umea Primary School,Butambala,3,101,
Kayenje C/S Primary School,Butambala,1,25,
Kabasanda Primary School,Butambala,1,92,
Simba Islamic Primary School,Butambala,3,51,
Kawami C/U Primary School,Butambala,2,32,
Makulungo Umea Primary School,Butambala,17,122,
Kamugonbwa C/UPS,Butambala,4,43,
Kibibi Umea Primary School,Butambala,3,52,
Waduduma Primary School,Butambala,10,70,
Budde Umea Primary School,Butambala,7,68,
Budde Umea Primary School,Butambala,7,68,
Gombe Standard D & B P/S,Butambala,6,58,
Gombe Prep, Primary  School,Butambala,5,32.0583
Kayenje C/U Primary School,Butambala,10,59,
Ssentoma Primary School,Butambala,9,52,
Butaalunga Primary School,Butambala,1,55,
Kitagobwa Umea Primary School,Butambala,1,54,
Saad Senene Primary School,Butambala,1,50,
Mayungwe C/U Primary School,Butambala,1,50,
Bule Primary School,Butambala,2,100,
Ntolomwe Umea Primary School,Butambala,12,66,
Kibibi Model Primary School,Butambala,20,58,
Nakatooke Umea Primary School,Butambala,1,70,
Lukima Parents Primary School,Buvuma,2,62,
Bulondo Primary School,Buvuma,3,72,
Bukaali Comm.Primary School,Buvuma,1,91,
Bukula S.D.A Primary School,Buvuma,1,16,
Nayolo Primary School,Buvuma,5,31,
Lingira Primary School,Buvuma,2,111,
Nabisiki Sda Primary School,Buyende,2,71,
Namulikya Primary School,Buyende,5,147,
Kisaikye |  F C Primary School,Buyende,1,27,
Kirimbi Primary School,Buyende,3,73,
Buyanja Sd Ps,Buyende,2,48,
Igalaza Primary School,Buyende,1,154,
Kabugudho Ps,Buyende,2,168,
Ikanda  Primary School,Buyende,4,83,
Lunar International P/S,Buyende,2,38,
Irundu Ps,Buyende,6,108,
Kinaitakali Primary School,Buyende,9,124,
Nabisiki Primary School,Buyende,4,50,
Ntaala Primary School,Buyende,9,104,
Kitukiro Primary School,Buyende,1,54,
Wesunire Primary School,Buyende,1,53,
Nkoone Ps,Buyende,1,48,
Gwase Primary School,Buyende,1,44,
Bukungu Ps,Buyende,1,42,
Kigingi Primary School,Buyende,1,76,
Miru Ps,Buyende,1,74,
Ngadiho Mixed Primary School,Buyende,1,72,
Kidera Ps,Buyende,1,40,
Namukunyu Primary School,Buyende,1,69,
Kirlmwa Primary School,Buyende,1,61,
Iringa Primary School,Buyende,2,77,
Akwanga Primary School,Dokolo,1,35,
Amwoma P.7 School,Dokolo,1,30,
Bata P.7 School,Dokolo,1,2,
Adeknino P7 School,Dokolo,1,135,
Agwata P.7 School,Dokolo,3,70,
Dokolo P/S,Dokolo,7,59,
Hassa Memorial P7 School,Dokolo,1,98,
Koroto Primary School,Dokolo,1,83,
Amuda P.7 School,Dokolo,5,108,
Ilong P.7 School,Dokolo,2,43,
Kachung P.7 School,Dokolo,5,90,
Acoto Primary School,Dokolo,6,61,
Apenyoweo P7 School,Dokolo,6,82,
Angwecibange P7 School,Dokolo,10,116,
Angwenya Primary School,Dokolo,1,55,
Iguli P/S,Dokolo,2,109,
Adwoki P7 School,Dokolo,3,15,
Awiri P/S,Dokolo,1,62,
Kigungu Primary School,Entebbe,4,120,
Chadwich Namate Primary School,Entebbe,19,152,
Chadwich Namate Primary School,Entebbe,19,152,
Uganda Airforce Primary School,Entebbe,8,171,
Nsamizi Primary School,Entebbe,5,103,
Nawogo Primary School,Entebbe,4,43,
Marine Base Army School,Entebbe,2,25,
Kiwaffu Moslem Primary School,Entebbe,6,56,
St.Joseph Katabi Pri.School,Entebbe,16,100,
Kawafu Primary School,Entebbe,17,101,
Entebee   Changsha  Model P/S,Entebbe,6,34,
Bugonga Boys Primary School,Entebbe,19,66,
The Early Learning School,Entebbe,8,26,
St.Theresa's Primary School,Entebbe,14,45,
Gilgal Primary School Entebbe,Entebbe,5,15,
Entebbe Mordern Primary School,Entebbe,10,26,
Lake Side Academy Pri.School,Entebbe,13,28,
New Life Centre Primary School,Entebbe,4,17,
Joy Primary School,Entebbe,9,17,
Victoria Montessori Ed.Centre,Entebbe,17,29,
Lake Victoria Primary School,Entebbe,24,93,
Queens Primary School,Entebbe,10,17,
Rainbow Christian School,Entebbe,11,18,
St.Agnes Primary School,Entebbe,53,79,
Googd Hope School,Entebbe,12,17,
Entebbe Education Center P/S,Entebbe,27,34,
Entebbe Christian School,Entebbe,40,50,
Gateway Primary School,Entebbe,14,15,
Entebbe Junior Primary School,Entebbe,60,69,
Kahinju Primary School,Fort Potal,8,68,
Kitumba Primary School,Fort Potal,3,31,
Kagota Primary School,Fort Potal,4,25,
Kyebembe Primary School,Fort Potal,51,90,
Kamengo Primary School,Fort Potal,32,24,
Ngombe Primary School,Fort Potal,25,58,
Njara Primary School,Fort Potal,27,75,
Nyabukara Primary School,Fort Potal,19,51,
Kahunga Bunyonyi P7 School,Fort Potal,40,106,
Kabulasoke Sda Primary School,Gomba,2,63,
Mpobngo C/U Primary School,Gomba,1,110,
Saali Primary School,Gomba,2,32,
Lugaaga Umea P/S,Gomba,1,18,
Kanoni Mordern Primary School,Gomba,1,51,
Kisamula-Ggomba P/S,Gomba,28,69,
Lugaaga C/U P/S,Gomba,7,31,
Aidah And Topher Prog.P/S,Gomba,11,47,
St.Joan of Arc Boarding P/S,Gomba,21,32,
Tochi P7 School,Gulu,1,35,
Layibi   Central P.7 School,Gulu,3,88,
Aswa Camp Primary School,Gulu,1,30,
Laminolika P.7 School,Gulu,1,30,
Akonyibedo P7 School,Gulu,1,33,
Layibi P.7 School,Gulu,2,56,
St.Joseph P.7 School,Gulu,2,55,
Lukwir P.7 School,Gulu,1,28,
Koch Koo P.7 School,Gulu,2,56,
St. Thomas Kulu Otit Primary School,Gulu,2,54,
Awach Central P7 School,Gulu,2,64,
Abwoch P.7 School,Gulu,2,50,
Odek P.7 School,Gulu,2,50,
Vienna Junior Day & Brg.Primary School,Gulu,1,31,
Gulu Prison P7 School,Gulu,3,93,
Oguru P7 School,Gulu,1,30,
Pece Pawel Primary School,Gulu,1,24,
Parak P.7 School,Gulu,1,24,
Christ-king Demn.Pri.School,Gulu,9,78,
Atede P.7 School,Gulu,5,40,
Paicho Primary School,Gulu,4,67,
Christ Church Primary School,Gulu,17,124,
Idobo P.7 School,Gulu,1,20,
Laminlawino P.7 School,Gulu,1,20,
Pece P.7 School,Gulu,4,77,
Angaya P.7 School,Gulu,1,19,
Cetkana Primary School,Gulu,1,19,
Kasubi P.7 School,Gulu,7,127,
Awere P7 School,Gulu,2,29,
Panykworo Primary School,Gulu,3,53,
Awach P.7 School,Gulu,3,53,
Laroo P.7 School,Gulu,13,134,
P7 School Laroo,Gulu,4,57,
Bungatira Central P.7 School,Gulu,8,81,
St.Kizito Anywee,Gulu,8,108,
Kirombe Primary School,Gulu,13,86,
Kasubi Central Primary School,Gulu,7,69,
Gulu Baptist Primary School,Gulu,7,89,
Katereiga Primary School,Gulu,4,49,
Gulu Public School,Gulu,10,64,
Abwoc Kalam Omiya Primary School,Gulu,4,37,
Gulu P.T.C.Dem.Pri.School,Gulu,3,27,
Gulu Primary School,Gulu,10,119,
Butema C/U Primary School,Gulu,2,74,
Agweno Primary School,Gulu,1,37,
Dino P.7 School,Gulu,5,30,
Vanguard Primary School,Gulu,80,150,
Unifat P7 School,Gulu,37,69,
Layibi Green Primary School,Gulu,9,24,
Lakwana P7 School,Gulu,20,64,
Cubu Primary School,Gulu,1,54,
St.Jude Kiryagonja Pri. School,Gulu,1,54,
Minja P.7 School,Gulu,1,54,
Minja P.7 School,Gulu,1,54,
Minja P.7 School,Gulu,1,54,
Minja P.7 School,Gulu,1,54,
Minja P.7 School,Gulu,1,54,
Minja P.7 School,Gulu,1,54,
Butema B C S Primary School,Gulu,13,73,
Pageya Pece Acoyo P.7 School,Gulu,1,51,
Pece Prison Primary School,Gulu,1,50,
Highland P.7 School,Gulu,1,48,
Wii Aworanga Primary School,Gulu,1,47,
Mama Cave P.7 School,Gulu,8,41,
Abuga P.7 School,Gulu,1,47,
Palaro P.7 School,Gulu,1,46,
Pakwelo P.7 School,Gulu,11,55,
Awoo P.7 School,Gulu,1,46,
Awoo P.7 School,Gulu,1,46,
C'wero P.7 School,Gulu,1,45,
Laiminadera Primary School,Gulu,10,48,
Bobi P.7 School,Gulu,1,45,
Obiya West Primary School,Gulu,1,44,
Labourline Primary School,Gulu,14,61,
Acet P.7 School,Gulu,2,86,
Opit Primary School,Gulu,1,78,
Bungatira P.7 School,Gulu,2,72,
Laroo Boarding Primary School,Gulu,1,62,
Kweyo P.7 School,Gulu,1,39,
Holy Rosary P.7 School,Gulu,10,602,
Mary Immaculate P.7 School,Gulu,1,60,
Kibanjwa Primary School,Hoima,1,36,
Kinakyeitaka Primary school,Hoima,2,67,
Bugoma P.7 School,Hoima,4,113,
Kiihabwemi Primary School,Hoima,1,32,
Kigorobya Primary School,Hoima,5,125,
Dwoli Primary School,Hoima,2,63,
Kasomoro Primary School,Hoima,1,31,
Karongo Primary School,Hoima,3,70,
Kisenyi Primary School,Hoima,3,68,
Kaburamuroo Primary School,Hoima,11,91,
Ruguse Primary School,Hoima,2,190,
Iguru 1 Primary School,Hoima,4,90,
Rumogi Primary School,Hoima,1,22,
Kibararu Primary School,Hoima,1,84,
Kaseeta Primary School,Hoima,4,87,
Kasonga P,7 School,Hoima,7,31.1505
Kisaaru Primary School,Hoima,3,63,
Kiduuma B C Sch,Hoima,1,21,
Bukinda Primary School,Hoima,2,34,
Kibengeya Primary School,Hoima,4,67,
Mukabara Primary School,Hoima,1,21,
Buhaga Girl's School,Hoima,3,56,
Kyabisagazi Primary School,Hoima,8,119,
Kigomba Public Primary School,Hoima,4,71,
Kitana Primary School,Hoima,3,53,
Kabwoya Primary School,Hoima,9,129,
Buhuka Primary School,Hoima,2,20,
Kyambara Primary School,Hoima,6,81,
Dorocira Men.Ps,Hoima,12,113,
Kibaire Primary School,Hoima,4,48,
Kapaapi Primary School,Hoima,7,84,
Duhaga Boys School,Hoima,16,94,
kasasa Ps,Hoima,1,54,
kizito kikoboza Primary School,Hoima,1,53,
St Kaloli Lwanga Rwemisanga,Hoima,1,52,
God's Grace P/S,Hoima,8,42,
Tontema PrimarySchool,Hoima,1,48,
St.Bernadetta's Pri.School,Hoima,33,172,
Bulera Dem.Ps,Hoima,60,163,
Sir Tito Winyi Primary School,Hoima,15,73,
Kabaale Public School,Hoima,7,13,
Golden Treasure Ps,Hoima,31,56,
Yana Ps,Hoima,27,46,
Step By Step Ps,Hoima,50,80,
Bulindi C/U Primary School,Hoima,1,41,
Mbaraara Primary School,Hoima,1,75,
Kyeranmya Primary School,Hoima,1,75,
Teme Junior School,Hoima,18,28,
Kyabigambire Primary School,Hoima,1,63,
Omugo Bisereko Primary School,Hoima,2,77,
Rusaka Primary School,Hoima,1,38,
Kigolaaya C/U Primary School,Hoima,1,58,
Bujwahya Primary School,Hoima,1,58,
Kigorobya C/U Primary School,Hoima,2,116,
Kisambo Primary School,Hoima,1,58,
Migyera Ps,Ibanda,1,35,
Rwenshambya Ps,Ibanda,1,35,
Keihangara Ps,Ibanda,2,70,
Nyakakiri P/S,Ibanda,1,34,
Kabingo Ps,Ibanda,1,29,
Kaihiro Ps,Ibanda,1,29,
St.George's Demn.Sch,Ibanda,1,33,
Bugrama Ps,Ibanda,2,56,
Nyakahaama Ps,Ibanda,2,64,
Kafunjo Ps ,Ibanda,1,28,
Ishongororo Ps,Ibanda,1,32,
Omwitaagi Ps,Ibanda,1,31,
Rugarama I Ps,Ibanda,2,49,
Rwenkbwa Muslim Ps,Ibanda,1,114,
Nyahoora Ps,Ibanda,4,34,
Kyakatooke Primary School,Ibanda,4,91,
Kagongo Parents Ps,Ibanda,10,82,
Kanaama Primary School,Ibanda,1,89,
Kakunyu Modern P/S,Ibanda,3,65,
Nyamarebe Ps,Ibanda,2,43,
Nyabuhikye Catholic Ps,Ibanda,2,42,
Rwanyabihuka Ps,Ibanda,2,34,
bihanga Army Ps,Ibanda,11,82,
Kikoni Catholics Ps,Ibanda,8,59,
Ntungamo Ps,Ibanda,4,29,
Mutukura Ps,Ibanda,9,65,
Kigunga P/S,Ibanda,1,20,
Kaijoronga Ps,Ibanda,2,39,
Kashambya Ps,Ibanda,2,22,
Kashambya Ps,Ibanda,2,22,
Bihembe Ps,Ibanda,3,44,
Busia Parents Primary School,Ibanda,4,42,
Miutuure Ps ,Ibanda,2,21,
Rugazi Ps,Ibanda,5,72,
Kyengandol Ps,Ibanda,3,43,
Katungu Ps,Ibanda,4,57,
Rwenkobwa Ps,Ibanda,5,70,
Katengyeto Ps,Ibanda,2,28,
Rwengwe 11 Ps,Ibanda,2,28,
Mwamba Junior P/S,Ibanda,8,56,
Bukama P/S,Ibanda,4,28,
Kigando li P/S,Ibanda,8,55,
Mabona C/U Ps,Ibanda,2,27,
Mabanga Standard Ps,Ibanda,2,26,
Kihani Ps,Ibanda,6,76,
Ruyonza Catholic P/S,Ibanda,4,26,
Rwemirama P/S,Ibanda,4,25,
Kijongo Primary School,Ibanda,1,56,
Nyakateete Ps,Ibanda,19,61,
Mpasha Ps,Ibanda,10,30,
Kangoma ps,Ibanda,1,48,
Muziza Central P/S,Ibanda,17,88,
St.Theresa  Girls Sch,Ibanda,17,88,
Kanonili C/U Ps,Ibanda,26,70,
Bubaare Ps,Ibanda,16,40,
Katongore P/S,Ibanda,9,45,
Nyakatukura Ps,Ibanda,63,134,
KemihokaP/S,Ibanda,11,51,
Kibubura Ps,Ibanda,21,89,
Mabonwa Catholic Sch,Ibanda,29,113,
Kakinga Ps,Ibanda,17,65,
Bufunda P/S,Ibanda,32,121,
Sigirira P/S,Ibanda,13,49,
Mushunga Ps,Ibanda,1,41,
Kihani C/U Ps,Ibanda,1,40,
Rwomuhoro Ps,Ibanda,1,67,
Ibanda Town Ps,Ibanda,78,95,
Bukyasime P/Sch,Iganga,2,71,
Kasokoso P.7 School,Iganga,8,223,
Mwagala Primary School,Iganga,3,85,
Nakalama Primary School,Iganga,5,140,
Bishop Willis Primary School,Iganga,5,135,
Canon Ibula Primary School,Iganga,4,100,
Magogo Primary School,Iganga,2,53,
Walugogo Primary School,Iganga,3,95,
Iganga Children Centre,Iganga,9,79,
Bugole Primary School,Iganga,1,167,
Buniantole P/Sch,Iganga,1,167,
Nambaale Primary School,Iganga,1,167,
Nabitende Primary School,Iganga,1,157,
Ididu Muslim P/Sch,Iganga,1,150,
Nayumya P/Sch,Iganga,3,71,
Kanyumya P/Sch,Iganga,3,71,
Dhakaba Memorial Ps,Iganga,1,115,
Idudi Primary School,Iganga,1,115,
Akanabala Bulanga School,Iganga,1,109,
Kinawansa Primary School,Iganga,1,105,
Bubiga P/Sch,Iganga,1,104,
Irenzi Primary School,Iganga,1,23,
Mwendafuko Primary School,Iganga,3,69,
Mwendafuko Primary School,Iganga,3,69,
Mwendafuko Primary School,Iganga,3,69,
Mwendafuko Primary School,Iganga,3,69,
Mwendafuko Primary School,Iganga,3,69,
Mwendafuko Primary School,Iganga,3,69,
Mwendafuko Primary School,Iganga,3,69,
Wagodo Primary School,Iganga,1,97,
Victory Preparatory P/S,Iganga,9,75,
Bulumwaki C/U Primary School,Iganga,1,95,
Kidaago Primary School,Iganga,2,183,
Bunyiiro Primary School,Iganga,1,86,
Bubbala Ps,Iganga,4,86,
Igamba P/S,Iganga,25,197,
Igamba P/S,Iganga,25,197,
Bukoona Primary School,Iganga,7,120,
Nakibembe Ps,Iganga,5,84,
Busembatia P/Sch,Iganga,10,167,
Bugabwe Primary School,Iganga,6,97,
Budaali Primary School,Iganga,2,37,
St.Jude P/Sch,Iganga,2,37,
Bukoyo Primary School,Iganga,7,97,
Bunyiiro C/U Primary School,Iganga,4,53,
Highway Primary School,Iganga,6,39,
Nawampedo P/Sch,Iganga,3,36,
Kabuli Primary School ,Iganga,3,127,
Kakombo Primary School,Iganga,3,110,
Naigombwa Ps,Iganga,2,110,
Ibalanku P/Sch,Iganga,1,55,
Nayuma Girls P/Sch,Iganga,24,41,
Namalembe Mixed Boarding P/Sch,Iganga,26,46,
Kigulu Hill Primary School,Iganga,32,57,
Royal Primary School,Iganga,12,22,
Iganga T.C P/S,Iganga,36,105,
Busei Primary School,Iganga,11,34,
Nabukone Primary School,Iganga,1,54,
Buwooya P/Sch,Iganga,40,140,
St.Josephine Learning Centre,Iganga,10,34,
Iganga Sda Primary School,Iganga,11,60,
Nakavule P/S,Iganga,16,85,
New Hightech Primary School,Iganga,10,34,
Ruhimbo P/s,Isingiro,1,36,
Kigaragara Primary School,Isingiro,2,71,
Nyakamurili Primary School,Isingiro,1,35,
Kajaho Primary School,Isingiro,2,57,
Kisharira Primary School,Isingiro,1,33,
ndaragi P/S,Isingiro,1,32,
Ruyanga Primary School,Isingiro,1,26,
Rwakakwenda Primary School,Isingiro,1,27,
Murema Primary School,Isingiro,1,32,
Nyakayonjo Primary School,Isingiro,1,32,
Mbaare Primary School,Isingiro,3,79,
Kagarama Mixed P/S,Isingiro,2,52,
Ruborogota Primary School,Isingiro,2,62,
Kahungye Primary School,Isingiro,7,62,
St. Mathias Kabashaki,Isingiro,5,44,
Kawalakol P/Sc,Isingiro,5,44,
kyempara Primary School,Isingiro,3,26,
St Joseph Katembe P/S,Isingiro,2,46,
Rumuri  P/S,Isingiro,1,23,
Ruhiira Primary School,Isingiro,5,41,
Kibona Boys P/S,Isingiro,1,22,
Kabaare Primary School,Isingiro,8,64,
Nyampike Primary School,Isingiro,15,119,
St.Peters Kyoga Primary School,Isingiro,11,86,
Kibwera P/S,Isingiro,21,17,
Kamuli St.Gonzaga School,Isingiro,5,39,
Kyempara Mixed Primary School,Isingiro,2,34,
Kabuyanda Primary School,Isingiro,9,67,
Kamuli P/S,Isingiro,7,52,
Kagoto Primary School,Isingiro,6,44,
Kankingi Primary School,Isingiro,1,16,
Kigyedde P/S,Isingiro,1,20,
Kyamusooni Primary School,Isingiro,9,64,
Kiyenje P.7 School,Isingiro,8,57,
St.Mary's Rushoroza P/S,Isingiro,11,121,
Nyaruhanga Primary School,Isingiro,1,15,
Kaberebere P/S,Isingiro,5,74,
Kendobo P/S,Isingiro,1,18,
Kahirimbi Primary School,Isingiro,5,52,
Kahirimbi Primary School,Isingiro,5,52,
Kahirimbi Primary School,Isingiro,5,52,
Kahirimbi Primary School,Isingiro,5,52,
Kahirimbi Primary School,Isingiro,5,52,
Burungamo Primary School,Isingiro,2,35,
Kagaagali Primary School,Isingiro,2,28,
Kanywamaizi Mixed Pri.Sch,Isingiro,12,84,
Hanny P/S,Isingiro,7,48,
Katanoga P/S,Isingiro,7,47,
Rukuuba P/S,Isingiro,3,20,
Nsohororo Primary School,Isingiro,4,54,
Kaaaro Karungi Primary School,Isingiro,5,33,
Kayenjeli Ps,Isingiro,2,26,
Rwetango P/S,Isingiro,2,26,
Rutsya P/S,Isingiro,9,36,
Kyajungu Primary School,Isingiro,9,59,
Kyeirumba Muslim P/S,Isingiro,3,19,
Rwamurunga Primary School,Isingiro,5,60,
Juru Primary School,Isingiro,8,73,
Burungamo C/U Primary School,Isingiro,9,53,
Bibungo Primary School,Isingiro,4,23,
Gayaza Mixed P/S,Isingiro,12,43,
Kamubebeizi Primary School,Isingiro,1,53,
Rwentsinga Primary School,Isingiro,1,51,
Nyakitunda Twehangane P/S,Isingiro,13,36,
Kikagate Forum P/S,Isingiro,12,30,
Ntungu Mixed Primary School,Isingiro,25,61,
Buhungiro Primary School,Isingiro,6,30,
Kisye P/S,Isingiro,11,52,
Kisye P/S,Isingiro,11,52,
Nyakitunda Primary School,Isingiro,1,45,
Kamatarisi Primary School,Isingiro,1,45,
Kihwaa P/S,Isingiro,16,62,
Kihwaa P/S,Isingiro,16,62,
Kihwaa P/S,Isingiro,16,62,
Citizens Primary School,Isingiro,33,55,
Kirwala Primary School,Isingiro,1,79,
Karungi Primary School,Isingiro,19,30,
St.Joseph Kyabirukwa P/S,Isingiro,27,42,
Kabingo Parents Primary School,Isingiro,18,27,
Buhungura P/S,Isingiro,1,68,
Kihihi Primary School,Isingiro,1,40,
Nyamuyanja Modern P/S,Isingiro,1,39,
Kabazana P/S,Isingiro,2,78,
Endiinze Parents P/S,Isingiro,25,33,
Itegyero Primary School,Isingiro,1,60,
Byaruha P/S,Isingiro,1,38,
Kenteeko Primary School,Isingiro,21,21,
Muguluka Parents P/S,Jinja,7,120,
Budondo Primary School,Jinja,3,104,
Kyomya Primary School,Jinja,9,263,
Kimasa Primary School,Jinja,2,66,
Buwagi Growers' Primary School,Jinja,3,96,
Kyabirwa Primary School,Jinja,2,51,
Arivu P.7 School,Jinja,2,53,
Nawansaso Primary School,Jinja,2,53,
St.Pauls Day and Boarding Ps,Jinja,6,188,
Army Boarding School Jinja,Jinja,16,143,
Nabirama Primary School,Jinja,4,94,
Nuvilla P S,Jinja,5,43,
Uganda Railways Primary School,Jinja,2,45,
Factory Primary School,Jinja,8,66,
Mafubira Primary School,Jinja,1,88,
BUtangala Primary School,Jinja,1,88,
St.Paul Junior  Namulesa P/S,Jinja,3,65,
Nawamboga Primary School,Jinja,3,63,
Nakanyonyi Primary School,Jinja,17,294,
Jinja Sda Primary School,Jinja,6,46,
Musima Primary School,Jinja,9,68,
Jinja Parents' School,Kagoma,Jinja,10,33.2108
Buzibirira Primary  School,Jinja,2,42,
Isamic Institute, Bugembe,Jinja,10,33.2108
Kagoma Primary School,Jinja,7,108,
Nanfugaki Primary School,Jinja,4,80,
Buwenda Primary School,Jinja,5,94,
Buwenda Primary School,Jinja,5,94,
Busoga Junior School,Jinja,2,29,
St.Gonzaga Primary School,Jinja,4,72,
Spire Road Primary School,Jinja,11,113,
Masese Co Education School,Jinja,10,59,
Jinja Police Barracks P/S,Jinja,2,26,
Mpumudde Estate School,Jinja,5,62,
Kiira Primary School,Jinja,16,106,
Karongo Madhvan Primary School,Jinja,5,30,
Jinja Prepatory School,Jinja,3,18,
Omega Modern Primary School,Jinja,7,42,
St.Andrews' nakabango P/S,Jinja,11,125,
Simpson Junior Academy,Jinja,3,34,
Street Primary School,Jinja,29,108,
Kabiaza Primary School,Jinja,11,40,
Walukuba East Estate School,Jinja,20,70,
Exodus Primary School,Jinja,1,52,
Magwa Primary School,Jinja,23,72,
Lake Site Primary School,Jinja,2,98,
Dayspring Elementary School,Jinja,13,38,
Chico Primary School,Jinja,9,26,
wairaka PS,Jinja,3,145,
Holy Ross Ps,Jinja,31,87,
Rehaboth Integrated School,Jinja,17,47,
Kakira Estate Primary School,Jinja,18,47,
St.Nicholas Preparatory P/S,Jinja,6,15,
St.Jude Holy Cross Parents,Jinja,11,27,
kiwolera Army School,Jinja,1,46,
Jinja Happy Hours P/S,Jinja,4,20,
Madhvani Primary School,Jinja,33,78,
Buwenga Sda Primary School,Jinja,5,227,
Buwenge Parents Primary School,Jinja,44,99,
Mutai Estate Primary School,Jinja,13,29,
Gertrude Academy,Jinja,17,80,
Mwirir Primary School,Jinja,29,61,
Mpumdde Methodist Comm.Sch,Jinja,40,83,
Naranbhi Road Primary School,Jinja,17,77,
St.Adrew's Primary School,Jinja,8,36,
Victoria Nile School Jinja,Jinja,94,171,
St.Benedict Grade School,Jinja,27,48,
Wakitaka Primary School,Jinja,3,128,
Nalinaibi Primary School,Jinja,3,126,
Buwenge Township Pri. School,Jinja,4,160,
Vic View Primary School,Jinja,59,88,
Butiki Primary School,Jinja,1,67,
Glory Primary School Masese,Jinja,23,32,
Jinja Central School,Jinja,70,97,
Riverside Academy P/S,Jinja,18,23,
St.John Kizinga Primary School,Jinja,2,117,
Muguluka Primary School,Jinja,2,117,
Mm Wanyange  Primary School,Jinja,4,147,
Komukuny Girls School,Kaabong,1,33,
Loiki Primary School,Kaabong,2,62,
Komykuny Boys P7 school,Kaabong,2,61,
Kawalakol P/Sc,Kaabong,5,44,
Kalongor Primary School,Kaabong,2,17,
Lomodoch Primary Schoool,Kaabong,3,24,
Kathile Primary School,Kaabong,2,33,
Nalakas Primary School,Kaabong,3,45,
Komolicer Primary School,Kaabong,1,18,
Morukori Primary School,Kaabong,3,31,
Kamacharikol P.7 School,Kaabong,2,25,
Pajer P.7 School,Kaabong,1,54,
Kabirizi Primary School,Kabale,1,35,
Rushaki P/S,Kabale,1,30,
Baharura P/S,Kabale,1,30,
Buranga Primary School,Kabale,1,34,
Ryabirengye Primary School,Kabale,1,29,
Murambo Primary School,Kabale,1,34,
Kirwa Primary School,Kabale,1,33,
Kizinga P7 School,Kabale,1,33,
Bwindi P7 School,Kabale,1,33,
Kyokyezo Primary School,Kabale,1,33,
Kijonjo Primary School,Kabale,1,32,
Bugunga Primary School,Kabale,1,28,
Ikumba Primary School,Kabale,2,54,
Butanda Primary School,Kabale,1,28,
Mambugu C/U Ps,Kabale,1,32,
Kiheesi Primary School,Kabale,1,25,
Hakhumiro Primary School,Kabale,1,25,
Katiba Primary School,Kabale,2,53,
Nyakatugunda Primary School,Kabale,1,26,
Nyamyerambiko Primary School,Kabale,1,31,
Paccwa P/S,Kabale,1,26,
Kanyeganyegye Primary School,Kabale,1,31,
Kanyeganyegye Primary School,Kabale,1,31,
Kisiizi Primary School,Kabale,1,31,
Kitojo Primary School,Kabale,2,48,
Kukoora Primary School,Kabale,1,24,
Mushanje Primary School,Kabale,1,24,
Butare Primary School,Kabale,1,24,
kacwenkano Primary School,Kabale,4,35,
Kyehinde Primary School,Kabale,3,26,
Kyehinde Primary School,Kabale,3,26,
Kavu Primary School,Kabale,1,23,
Bugongi P/S,Kabale,1,23,
Kabisha Primary School,Kabale,1,23,
Nangoro Primary School,Kabale,11,92,
Kandago Primary School,Kabale,2,45,
Ndeego Primary School,Kabale,1,22,
Kakomo Primary School,Kabale,4,32,
Kahuniro P/S,Kabale,2,43,
Mugabi P/S,Kabale,1,21,
Hamurwa Primary School,Kabale,2,42,
Bugandura Primary School,Kabale,1,17,
Kabaale Ps,Kabale,6,101,
Ksagadi P/S,Kabale,18,134,
Kihanga Girls Primary School,Kabale,2,33,
Kagadi Muslim P/S,Kabale,10,74,
Kagadi Muslim P/S,Kabale,10,74,
Kihanga Boys School,Kabale,1,21,
Rubaya Mixed  Primary School,Kabale,3,48,
Rushiitalia Solidale,Kabale,1,16,
Muchachi Primary School,Kabale,2,32,
Kagunga Primary School,Kabale,2,40,
Horny High School Junior,Kabale,7,50,
Kacereere Primary School,Kabale,6,91,
Bishop Rwakaikara P/S,Kabale,2,39,
